D0553,rgyud,4
D0554,rgyud,3
D0555,rgyud,264
D0556,rgyud,244
D0557,rgyud,122
D0558,rgyud,50
D0559,rgyud,60
D0560,rgyud,2
D0561,rgyud,43
D0562,rgyud,25
D0563,rgyud,12
D0564,rgyud,4
D0565,rgyud,15
D0566,rgyud,42
D0567,rgyud,12
D0568,rgyud,8
D0569,rgyud,4
D0570,rgyud,4
D0571,rgyud,3
D0572,rgyud,3
D0573,rgyud,1
D0574,rgyud,5
D0575,rgyud,2
D0576,rgyud,2
D0577,rgyud,1
D0578,rgyud,1
D0579,rgyud,2
D0580,rgyud,1
D0581,rgyud,1
D0582,rgyud,2
D0583,rgyud,1
D0584,rgyud,1
D0585,rgyud,1
D0586,rgyud,2
D0587,rgyud,1
D0588,rgyud,1
D0589,rgyud,1
D0590,rgyud,16
D0591,rgyud,14
D0592,rgyud,12
D0593,rgyud,11
D0594,rgyud,16
D0595,rgyud,10
D0596,rgyud,4
D0597,rgyud,10
D0598,rgyud,5
D0599,rgyud,20
D0600,rgyud,1
D0601,rgyud,14
D0602,rgyud,2
D0603,rgyud,5
D0604,rgyud,106
D0605,rgyud,3
D0606,rgyud,5
D0607,rgyud,4
D0608,rgyud,3
D0609,rgyud,4
D0610,rgyud,5
D0611,rgyud,1
D0612,rgyud,3
D0613,rgyud,2
D0614,rgyud,10
D0615,rgyud,2
D0616,rgyud,8
D0617,rgyud,6
D0618,rgyud,2
D0619,rgyud,4
D0620,rgyud,2
D0621,rgyud,2
D0622,rgyud,1
D0623,rgyud,1
D0624,rgyud,1
D0625,rgyud,2
D0626,rgyud,1
D0627,rgyud,1
D0628,rgyud,9
D0629,rgyud,2
D0630,rgyud,2
D0631,rgyud,26
D0632,rgyud,44
D0633,rgyud,5
D0634,rgyud,5
D0635,rgyud,4
D0636,rgyud,7
D0637,rgyud,9
D0638,rgyud,6
D0639,rgyud,8
D0640,rgyud,5
D0641,rgyud,5
D0642,rgyud,4
D0643,rgyud,2
D0644,rgyud,3
D0645,rgyud,2
D0646,rgyud,6
D0647,rgyud,4
D0648,rgyud,5
D0649,rgyud,2
D0650,rgyud,1
D0651,rgyud,2
D0652,rgyud,1
D0653,rgyud,19
D0654,rgyud,7
D0655,rgyud,2
D0656,rgyud,27
D0657,rgyud,26
D0658,rgyud,10
D0659,rgyud,2
D0660,rgyud,7
D0661,rgyud,6
D0662,rgyud,9
D0663,rgyud,3
D0664,rgyud,4
D0665,rgyud,2
D0666,rgyud,13
D0667,rgyud,6
D0668,rgyud,2
D0669,rgyud,1
D0670,rgyud,1
D0671,rgyud,15
D0672,rgyud,4
D0673,rgyud,2
D0673a,rgyud,1
D0674,rgyud,10
D0675,rgyud,10
D0676,rgyud,5
D0677,rgyud,1
D0678,rgyud,2
D0679,rgyud,1
D0680,rgyud,1
D0681,rgyud,108
D0682,rgyud,12
D0683,rgyud,6
D0684,rgyud,6
D0685,rgyud,3
D0686,rgyud,743
D0687,rgyud,4
D0688,rgyud,6
D0689,rgyud,9
D0690,rgyud,57
D0691,rgyud,71
D0692,rgyud,16
D0693,rgyud,5
D0694,rgyud,16
D0695,rgyud,1
D0696,rgyud,2
D0697,rgyud,3
D0698,rgyud,2
D0699,rgyud,6
D0700,rgyud,11
D0701,rgyud,15
D0702,rgyud,3
D0703,rgyud,12
D0704,rgyud,2
D0705,rgyud,4
D0706,rgyud,5
D0707,rgyud,4
D0708,rgyud,3
D0709,rgyud,2
D0710,rgyud,1
D0711,rgyud,2
D0712,rgyud,1
D0713,rgyud,1
D0714,rgyud,2
D0715,rgyud,1
D0716,rgyud,1
D0717,rgyud,1
D0718,rgyud,2
D0719,rgyud,1
D0720,rgyud,1
D0721,rgyud,39
D0722,rgyud,4
D0723,rgyud,6
D0724,rgyud,610
D0725,rgyud,4
D0726,rgyud,31
D0727,rgyud,5
D0728,rgyud,7
D0729,rgyud,1
D0730,rgyud,2
D0731,rgyud,5
D0732,rgyud,2
D0733,rgyud,2
D0734,rgyud,4
D0735,rgyud,3
D0736,rgyud,2
D0737,rgyud,2
D0738,rgyud,2
