,title,role,identification,reviewer,indicated value,ambiguity,note,sources
D0082,phags pa sangs rgyas thams cad kyi gsang chen thabs la mkhas pa byang chub sems dpa' ye shes dam pas zhus pa'i le'u zhes bya ba theg pa chen po'i mdo,translatorPandita,P0AT0106,,karma warma,,,
D0082,phags pa sangs rgyas thams cad kyi gsang chen thabs la mkhas pa byang chub sems dpa' ye shes dam pas zhus pa'i le'u zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0083,phags pa tshong dpon bzang skyong gis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0083,phags pa tshong dpon bzang skyong gis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren dra bo d+hi,,,
D0083,phags pa tshong dpon bzang skyong gis zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0085,phags pa byams pas zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0085,phags pa byams pas zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren dra bo d+hi,,,
D0085,phags pa byams pas zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0086,phags pa byams pas zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0086,phags pa byams pas zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0086,phags pa byams pas zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0087,phags pa 'od srung gi le'u zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0087,phags pa 'od srung gi le'u zhes bya ba theg pa chen po'i mdo,translatorPandita,P1KG8854,,shI len dra bo d+hi,,,
D0087,phags pa 'od srung gi le'u zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0088,phags pa rin po che'i phung po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0088,phags pa rin po che'i phung po zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0089,phags pa blo gros mi zad pas zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0089,phags pa blo gros mi zad pas zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0090,phags pa shes rab kyi pha rol tu phyin pa bdun brgya pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0090,phags pa shes rab kyi pha rol tu phyin pa bdun brgya pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0091,phags pa gtsug na rin po ches zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P7641,,rgya gar gyi mkhan po ka ma la shI la,,,
D0091,phags pa gtsug na rin po ches zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8266,,zhu chen gyi lo ts+tsha ba ban de d+harma tA shI la,,,
D0092,phags pa lha mo dpal phreng gi seng ge'i sgra zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0092,phags pa lha mo dpal phreng gi seng ge'i sgra zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren dra bo d+hi,,,
D0092,phags pa lha mo dpal phreng gi seng ge'i sgra zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0093,phags pa drang srong rgyas pas zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0093,phags pa drang srong rgyas pas zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0093,phags pa drang srong rgyas pas zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0094,phags pa bskal pa bzang po pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8213,,rgya gar gyi mkhan po bid+yA ka ra sing ha,,,
D0094,phags pa bskal pa bzang po pa zhes bya ba theg pa chen po'i mdo,translator,P8260,,lots+tsha ba ban de dpal gyi dbyangs,,,
D0094,phags pa bskal pa bzang po pa zhes bya ba theg pa chen po'i mdo,revisor,P8182,,zhu chen gyi lots+tsha ba ban de dpal brtsegs,,,
D0095,phags pa rgya cher rol pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0095,phags pa rgya cher rol pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0095,phags pa rgya cher rol pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8261,,mu ni bar ma,,,
D0095,phags pa rgya cher rol pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0096,phags pa 'jam dpal rnam par rol pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0096,phags pa 'jam dpal rnam par rol pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0097,phags pa 'jam dpal rnam par 'phrul pa'i le'u zhes bya ba theg pa chen po'i mdo,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len dra bo d+hi,,,
D0097,phags pa 'jam dpal rnam par 'phrul pa'i le'u zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,dzi na mi tra,,,
D0097,phags pa 'jam dpal rnam par 'phrul pa'i le'u zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0098,phags pa de bzhin gshegs pa thams cad kyi byin gyi rlabs sems can la gzigs shing sangs rgyas kyi zhing gi bkod pa kun tu ston pa zhes bya ba theg pa chen po'i mdo,translator,P8183,,ban de klu'i rgyal mtshan,,,
D0098,phags pa de bzhin gshegs pa thams cad kyi byin gyi rlabs sems can la gzigs shing sangs rgyas kyi zhing gi bkod pa kun tu ston pa zhes bya ba theg pa chen po'i mdo,revisor,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0099,phags pa bcom ldan 'das kyi ye shes rgyas pa'i mdo sde rin po che mtha' yas pa mthar phyin pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA bar ma,,,
D0099,phags pa bcom ldan 'das kyi ye shes rgyas pa'i mdo sde rin po che mtha' yas pa mthar phyin pa zhes bya ba theg pa chen po'i mdo,translator,P4255,,lots+tsha ba ban de ye shes snying po,,,
D0099,phags pa bcom ldan 'das kyi ye shes rgyas pa'i mdo sde rin po che mtha' yas pa mthar phyin pa zhes bya ba theg pa chen po'i mdo,revisor,P8182,,zhu chen gyi lots+tsha ba ban de dpal brtsegs,,,
D0100,phags pa sangs rgyas thams cad kyi yul la 'jug pa'i ye shes snang ba'i rgyan ces bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0100,phags pa sangs rgyas thams cad kyi yul la 'jug pa'i ye shes snang ba'i rgyan ces bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0101,phags pa dge ba'i rtsa ba yongs su 'dzin pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA warma,,,
D0101,phags pa dge ba'i rtsa ba yongs su 'dzin pa zhes bya ba theg pa chen po'i mdo,translator,P8263,,lo ts+tsha ba ban de legs kyi sde,,,
D0101,phags pa dge ba'i rtsa ba yongs su 'dzin pa zhes bya ba theg pa chen po'i mdo,revisor,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0102,phags pa zung gi mdo'i chos kyi rnam grangs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0102,phags pa zung gi mdo'i chos kyi rnam grangs,translatorPandita,P8210,,dA na shI la,,,
D0102,phags pa zung gi mdo'i chos kyi rnam grangs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0103,phags pa khye'u snang ba bsam gyis mi khyab pas bstan pa zhes bya ba'i chos kyi rnam grangs,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0103,phags pa khye'u snang ba bsam gyis mi khyab pas bstan pa zhes bya ba'i chos kyi rnam grangs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0104,phags pa de bzhin gshegs pa rnams kyi sangs rgyas kyi zhing gi yon tan brjod pa'i chos kyi rnam grangs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0104,phags pa de bzhin gshegs pa rnams kyi sangs rgyas kyi zhing gi yon tan brjod pa'i chos kyi rnam grangs,translatorPandita,P8210,,dA na shI la,,,
D0104,phags pa de bzhin gshegs pa rnams kyi sangs rgyas kyi zhing gi yon tan brjod pa'i chos kyi rnam grangs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0105,phags pa dkyil 'khor brgyad ces bya ba'i chos kyi rnam grangs theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0105,phags pa dkyil 'khor brgyad ces bya ba'i chos kyi rnam grangs theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0107,phags pa lang kar gshegs pa'i theg pa chen po'i mdo,translator,P8221,,bcom ldan 'das kyi ring lugs pa 'gos chos grub,,,
D0108,phags pa lang kar gshegs pa rin po che'i mdo las sangs rgyas thams cad kyi gsung gi snying po zhes bya ba'i le'u,translator,P8221,,lo ts+tsha ba dge slong 'gos chos grub,,,
D0109,phags pa ga yA mgo'i ri zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0109,phags pa ga yA mgo'i ri zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0111,phags pa snying rje chen po'i pad ma dkar po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0111,phags pa snying rje chen po'i pad ma dkar po zhes bya ba theg pa chen po'i mdo,translatorPandita,P1KG8854,,shI len dra bo d+hi,,,
D0111,phags pa snying rje chen po'i pad ma dkar po zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0112,phags pa snying rje pad ma dkar po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0112,phags pa snying rje pad ma dkar po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren dra bo d+hi,,,
D0112,phags pa snying rje pad ma dkar po zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,pradz+nyA barma,,,
D0112,phags pa snying rje pad ma dkar po zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhus chen gyi lots+tsha ba ban de ye shes sde,,,
D0113,dam pa'i chos pad ma dkar po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0113,dam pa'i chos pad ma dkar po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo dhi,,,
D0113,dam pa'i chos pad ma dkar po zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de sna nam ye shes sdes,,,
D0114,phags pa chos thams cad kyi yon tan bkod pa'i rgyal po zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA bar ma,,,
D0114,phags pa chos thams cad kyi yon tan bkod pa'i rgyal po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren dra bo d+hi,,,
D0114,phags pa chos thams cad kyi yon tan bkod pa'i rgyal po zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba __ban de ye shes sde,,,
D0115,phags pa bde ba can gyi bkod pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,rgya gar gyi mkhan po dA na shI la,,,
D0115,phags pa bde ba can gyi bkod pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo tsA ba _ban de ye shes sde,,,
D0116,phags pa za ma tog bkod pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0116,phags pa za ma tog bkod pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0116,phags pa za ma tog bkod pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo tsA ba _ban de ye shes sde,,,
D0117,phags pa dkon mchog gi za ma tog ces bya ba theg pa chen po'i mdo,translatorPandita,P8265,,zhu chen gyi lots+tsha ba __ban de rat+narak+Shi ta,,,
D0118,phags pa rin po che'i mtha' zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA barma,,,
D0118,phags pa rin po che'i mtha' zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba _ban de ye shes sde,,,
D0120,phags pa yongs su mya ngan las 'das pa chen po theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0120,phags pa yongs su mya ngan las 'das pa chen po theg pa chen po'i mdo,translatorPandita,P8175,,dz+nyA na gar+b+ha,,,
D0120,phags pa yongs su mya ngan las 'das pa chen po theg pa chen po'i mdo,translator,P8220,,zhu chen gyi lots+tsha ba ban+de de ba tsan dra,,,
D0121,phags pa yongs su mya ngan las 'das pa chen po'i mdo,translatorPandita,P8093,,rgya gar gyi mkhan po ka ma la gup+ta,,,
D0121,phags pa yongs su mya ngan las 'das pa chen po'i mdo,translator,P753,,zhu chen gyi lo ts+tsha ba dge slong rin chen bzang po,,,
D0124,phags pa dkon mchog 'byung gnas zhes bya ba theg pa chen po'i mdo,revisor,P8205,,zhu chen gyi lo tsA ba ban de ye shes sde,,,
D0126,phags pa gser gyi bye ma lta bu zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren+d+ra bo d+hi,,,
D0126,phags pa gser gyi bye ma lta bu zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,pradz+nyA barma,,,
D0126,phags pa gser gyi bye ma lta bu zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo tsA ba ban de ye shes sde,,,
D0127,phags pa chos thams cad kyi rang bzhin mnyam pa nyid rnam par spros pa ting nge 'dzin gyi rgyal po zhes bya ba theg pa chen po'i mdo,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len dra bo d+hi,,,
D0127,phags pa chos thams cad kyi rang bzhin mnyam pa nyid rnam par spros pa ting nge 'dzin gyi rgyal po zhes bya ba theg pa chen po'i mdo,translator,P8266,,zhu chen gyi lots+tsha ba ban de d+harma tA shI la,,,
D0128,phags pa chos nyid rang gi ngo bo stong pa nyid las mi g.yo bar tha dad par thams cad la snang ba'i mdo,translatorPandita,P8210,,rgya gar gyi mkhan po dA na shI la,,,
D0128,phags pa chos nyid rang gi ngo bo stong pa nyid las mi g.yo bar tha dad par thams cad la snang ba'i mdo,translator,P8205,,ban de ye shes sde,,,
D0129,phags pa rab tu zhi ba rnam par nges pa'i cho 'phrul gyi ting nge 'dzin zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0129,phags pa rab tu zhi ba rnam par nges pa'i cho 'phrul gyi ting nge 'dzin zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0129,phags pa rab tu zhi ba rnam par nges pa'i cho 'phrul gyi ting nge 'dzin zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0130,phags pa sgyu ma lta bu'i ting nge 'dzin ces bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0130,phags pa sgyu ma lta bu'i ting nge 'dzin ces bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0131,phags pa de bzhin gshegs pa'i ye shes kyi phyag rgya'i ting nge 'dzin ces bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0131,phags pa de bzhin gshegs pa'i ye shes kyi phyag rgya'i ting nge 'dzin ces bya ba theg pa chen po'i mdo,translatorPandita,P8261,,mu ni warma,,,
D0131,phags pa de bzhin gshegs pa'i ye shes kyi phyag rgya'i ting nge 'dzin ces bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0131,phags pa de bzhin gshegs pa'i ye shes kyi phyag rgya'i ting nge 'dzin ces bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0132,phags pa dpa' bar 'gro ba'i ting nge 'dzin ces bya ba theg pa chen po'i mdo,translatorPandita,P0AT0275,,rgya gar gyi mkhan po shAkya pra b+ha,,,
D0132,phags pa dpa' bar 'gro ba'i ting nge 'dzin ces bya ba theg pa chen po'i mdo,translator,P8265,,zhu chen gyi lots+tsha ba ban de rat+na rak+Shi ta,,,
D0133,phags pa da ltar gyi sangs rgyas mngon sum du bzhugs pa'i ting nge 'dzin ces bya ba theg pa chen po'i mdo,revisor,P8265,,zhu chen gyi lo ts+tsha ba ban de rat+na rak+Shi ta,,,
D0134,phags pa bsod nams thams cad bsdus pa'i ting nge 'dzin ces bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pra dz+nya warma,,,
D0134,phags pa bsod nams thams cad bsdus pa'i ting nge 'dzin ces bya ba theg pa chen po'i mdo,translatorPandita,P1KG8854,,shI len dra bo d+hi,,,
D0134,phags pa bsod nams thams cad bsdus pa'i ting nge 'dzin ces bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo tsA ba ban de ye shes sde,,,
D0136,phags pa khye'u bzhi'i ting nge 'dzin zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0136,phags pa khye'u bzhi'i ting nge 'dzin zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,pra dz+nyA barma,,,
D0136,phags pa khye'u bzhi'i ting nge 'dzin zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo tsA ba ban de ye shes sde,,,
D0138,phags pa 'dus pa chen po rin po che tog gi gzungs zhes bya ba theg pa chen po'i mdo,revisor,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0139,phags pa rdo rje'i snying po'i gzungs zhes bya ba theg pa chen po'i mdo,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len+d+ra bo d+hi,,,
D0139,phags pa rdo rje'i snying po'i gzungs zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0142,phags pa rnam par mi rtog par 'jug pa zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0142,phags pa rnam par mi rtog par 'jug pa zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0142,phags pa rnam par mi rtog par 'jug pa zhes bya ba'i gzungs,translator,P8182,,zhu chen gyi lots+tsha ba ka ba dpal brtsegs,,,
D0144,phags pa theg pa chen po la dad pa rab tu sgom pa zhes bya ba theg pa chen po'i mdo,revisor,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0145,phags pa dkon mchog ta la la'i gzungs zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0145,phags pa dkon mchog ta la la'i gzungs zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0146,phags pa byang chub sems dpa'i spyod yul gyi thabs kyi yul la rnam par 'phrul pa bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA bar ma,,,
D0146,phags pa byang chub sems dpa'i spyod yul gyi thabs kyi yul la rnam par 'phrul pa bstan pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0147,phags pa de bzhin gshegs pa'i snying rje chen po nges par bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len dra bo d+hi,,,
D0147,phags pa de bzhin gshegs pa'i snying rje chen po nges par bstan pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0148,phags pa nam mkha' mdzod kyis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8267,,rgya gar gyi mkhan po bi dza ya shI la,,,
D0148,phags pa nam mkha' mdzod kyis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P1KG8854,,shI len dra bo d+hi,,,
D0148,phags pa nam mkha' mdzod kyis zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sdes,,,
D0150,phags pa spyan ras gzigs dbang phyug gis zhus pa chos bdun pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P3379,,rgya gar gyi mkhan po dI paM ka ra shrI dz+nyA na,,,
D0150,phags pa spyan ras gzigs dbang phyug gis zhus pa chos bdun pa zhes bya ba theg pa chen po'i mdo,translator,P1242,,lo ts+tsha ba dge slong dge ba'i blo gros,,,
D0151,phags pa spobs pa'i blo gros kyis zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA war ma,,,
D0151,phags pa spobs pa'i blo gros kyis zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0152,phags pa blo gros rgya mtshos zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0152,phags pa blo gros rgya mtshos zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
