,title,role,identification,reviewer,indicated value,ambiguity,note,sources
D0077,phags pa dri ma med kyis byin pas zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0078,phags pa yon tan rin chen me tog kun tu rgyas pas zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0078,phags pa yon tan rin chen me tog kun tu rgyas pas zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,pra dz+nya bar ma,,,
D0078,phags pa yon tan rin chen me tog kun tu rgyas pas zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0079,phags pa sangs rgyas kyi yul bsam gyis mi khyab pa bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0079,phags pa sangs rgyas kyi yul bsam gyis mi khyab pa bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0079,phags pa sangs rgyas kyi yul bsam gyis mi khyab pa bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8261,,mu ni bar ma,,,
D0079,phags pa sangs rgyas kyi yul bsam gyis mi khyab pa bstan pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0080,phags pa lha'i bu blo gros rab gnas kyis zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8183,,ban de klu'i rgyal mtshan,,,
D0081,phags pa seng ges zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,rgya gar gyi mkhan po dA na shI la,,,
D0081,phags pa seng ges zhus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8261,,mu ni bar ma,,,
D0081,phags pa seng ges zhus pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0082,phags pa sangs rgyas thams cad kyi gsang chen thabs la mkhas pa byang chub sems dpa' ye shes dam pas zhus pa'i le'u zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,rgya gar gyi mkhan po dA na shI la,,,
